audit_id;azione;owner;due;status
MA-HALLITE-001Q_2025;Sensibilizzare operatori su chiusura contenitori chimici;HSE Manager;2026-04-01;Closed
MA-HALLITE-001Q_2025;Verifica utilizzo vasche contenimento;Responsabile Produzione;2026-04-01;Closed
MA-HALLITE-001Q_2025;Miglioramento housekeeping postazioni CNC;Capo Reparto;2026-03-20;Closed
MA-HALLITE-001Q_2025;Nomina PRSES e piano ispezioni scaffalature;Direzione;2026-05-01;Closed
MA-HALLITE-002Q_2025;Verifica etichettatura contenitori magazzino;Responsabile Magazzino;2026-04-05;Open
MA-HALLITE-002Q_2025;Rafforzare compilazione controlli carrelli elevatori;HSE Manager;2026-04-01;Open
MA-HALLITE-003Q_2025;Sensibilizzazione operatori ordine postazione;Capo Reparto;2026-03-25;Open
MA-HALLITE-003Q_2025;Implementare verifica compilazione controlli giornalieri macchine;Responsabile Produzione;2026-03-30;Open
